customer_id,reporting_date,default_moment,intodefault,mrating,PD
1,31.01.2010,30.09.2010,1,21,0.2
1,28.02.2010,30.09.2010,1,22,0.25
1,31.03.2010,30.09.2010,1,22,0.25
1,30.04.2010,30.09.2010,1,22,0.25
1,31.05.2010,30.09.2010,1,22,0.25
1,30.06.2010,30.09.2010,1,22,0.25
1,31.07.2010,30.09.2010,1,22,0.25
1,31.08.2010,30.09.2010,1,22,0.25
1,30.09.2010,31.12.2010,1,22,0.25
2,31.01.2010,,0,18,0.09
2,28.02.2010,,0,18,0.09
2,31.03.2010,,0,18,0.09
2,30.04.2010,,0,19,0.14
2,31.05.2010,,0,19,0.14
2,30.06.2010,,0,19,0.14
2,31.07.2010,,0,19,0.14
2,31.08.2010,,0,19,0.14
2,30.09.2010,,0,19,0.14
2,31.10.2010,,0,20,0.16
2,30.11.2010,,0,20,0.16
2,31.12.2010,,0,20,0.16
2,31.01.2011,,0,20,0.16
2,28.02.2011,,0,21,0.2
2,31.03.2011,,0,21,0.2
2,30.04.2011,,0,21,0.2
2,31.05.2011,,0,21,0.2
2,30.06.2011,,0,21,0.2
2,31.07.2011,,0,20,0.16
2,31.08.2011,,0,20,0.16
2,30.09.2011,,0,20,0.16
2,31.10.2011,,0,20,0.16
2,30.11.2011,,0,20,0.16
3,31.01.2010,,0,21,0.2
3,28.02.2010,,0,21,0.2
3,31.03.2010,,0,22,0.25
3,30.04.2010,,0,22,0.25
3,31.05.2010,,0,22,0.25
3,30.06.2010,,0,22,0.25
3,31.07.2010,,0,22,0.25
3,31.08.2010,,0,21,0.2
3,30.09.2010,30.09.2011,1,21,0.2
3,31.10.2010,30.09.2011,1,21,0.2
3,30.11.2010,30.09.2011,1,21,0.2
3,31.12.2010,30.09.2011,1,21,0.2
3,31.01.2011,30.09.2011,1,21,0.2
3,28.02.2011,30.09.2011,1,21,0.2
3,31.03.2011,30.09.2011,1,21,0.2
3,30.04.2011,30.09.2011,1,21,0.2
3,31.05.2011,30.09.2011,1,21,0.2
3,30.06.2011,30.09.2011,1,21,0.2
3,31.07.2011,30.09.2011,1,21,0.2
3,31.08.2011,30.09.2011,1,21,0.2
3,30.09.2011,30.09.2011,0,21,0.2
4,31.01.2010,31.03.2010,1,13,0.008
4,28.02.2010,31.03.2010,1,13,0.008
4,31.03.2010,31.03.2010,0,13,0.008
5,31.01.2010,,0,10,0.001
5,28.02.2010,,0,10,0.001
5,31.03.2010,,0,10,0.001
5,30.04.2010,,0,10,0.001
5,31.05.2010,,0,10,0.001
5,30.06.2010,,0,10,0.001
5,31.07.2010,,0,11,0.002
5,31.08.2010,,0,11,0.002
5,30.09.2010,,0,11,0.002
5,31.10.2010,,0,11,0.002
5,30.11.2010,,0,11,0.002
5,31.12.2010,,0,11,0.002
5,31.01.2011,,0,11,0.002
5,28.02.2011,,0,11,0.002
5,31.03.2011,,0,10,0.001
5,30.04.2011,,0,10,0.001
5,31.05.2011,,0,10,0.001
5,30.06.2011,,0,10,0.001
5,31.07.2011,,0,10,0.001
5,31.08.2011,,0,10,0.001
5,30.09.2011,,0,10,0.001
5,31.10.2011,,0,10,0.001
5,30.11.2011,,0,10,0.001
6,31.01.2010,,0,17,0.06
6,28.02.2010,,0,17,0.06
6,31.03.2010,,0,17,0.06
6,30.04.2010,,0,17,0.06
6,31.05.2010,,0,17,0.06
6,30.06.2010,,0,17,0.06
6,31.07.2010,,0,18,0.09
6,31.08.2010,,0,19,0.14
6,30.09.2010,,0,19,0.14
6,31.10.2010,,0,19,0.14
6,30.11.2010,,0,19,0.14
6,31.12.2010,,0,19,0.14
6,31.01.2011,,0,19,0.14
6,28.02.2011,,0,19,0.14
6,31.03.2011,,0,19,0.14
6,30.04.2011,,0,19,0.14
6,31.05.2011,,0,19,0.14
6,30.06.2011,,0,19,0.14
6,31.07.2011,,0,19,0.14
6,31.08.2011,,0,19,0.14
6,30.09.2011,,0,19,0.14
6,31.10.2011,,0,19,0.14
6,30.11.2011,,0,19,0.14
7,31.01.2010,,0,21,0.2
7,28.02.2010,28.02.2011,1,21,0.2
7,31.03.2010,28.02.2011,1,21,0.2
7,30.04.2010,28.02.2011,1,21,0.2
7,31.05.2010,28.02.2011,1,21,0.2
7,30.06.2010,28.02.2011,1,21,0.2
7,31.07.2010,28.02.2011,1,21,0.2
7,31.08.2010,28.02.2011,1,21,0.2
7,30.09.2010,28.02.2011,1,21,0.2
7,31.10.2010,28.02.2011,1,21,0.2
7,30.11.2010,28.02.2011,1,21,0.2
7,31.12.2010,28.02.2011,1,21,0.2
7,31.01.2011,28.02.2011,1,21,0.2
7,28.02.2011,28.02.2011,0,21,0.2
8,31.01.2010,31.03.2010,1,22,0.25
8,28.02.2010,31.03.2010,1,22,0.25
8,31.03.2010,31.03.2010,0,22,0.25
9,31.01.2010,31.03.2010,1,15,0.025
9,28.02.2010,31.03.2010,1,15,0.025
9,31.03.2010,31.03.2010,0,15,0.025
10,31.01.2010,,0,19,0.14
10,28.02.2010,,0,19,0.14
10,31.03.2010,,0,19,0.14
10,30.04.2010,,0,19,0.14
10,31.05.2010,,0,19,0.14
10,30.06.2010,,0,19,0.14
10,31.07.2010,,0,19,0.14
10,31.08.2010,,0,19,0.14
10,30.09.2010,,0,19,0.14
10,31.10.2010,31.10.2011,1,19,0.14
10,30.11.2010,31.10.2011,1,19,0.14
10,31.12.2010,31.10.2011,1,19,0.14
10,31.01.2011,31.10.2011,1,19,0.14
10,28.02.2011,31.10.2011,1,19,0.14
10,31.03.2011,31.10.2011,1,19,0.14
10,30.04.2011,31.10.2011,1,19,0.14
10,31.05.2011,31.10.2011,1,19,0.14
10,30.06.2011,31.10.2011,1,19,0.14
10,31.07.2011,31.10.2011,1,19,0.14
10,31.08.2011,31.10.2011,1,19,0.14
10,30.09.2011,31.10.2011,1,19,0.14
10,31.10.2011,31.10.2011,0,19,0.14
11,31.01.2010,,0,16,0.04
11,28.02.2010,,0,16,0.04
11,31.03.2010,,0,16,0.04
11,30.04.2010,,0,16,0.04
11,31.05.2010,,0,16,0.04
11,30.06.2010,,0,16,0.04
11,31.07.2010,,0,16,0.04
11,31.08.2010,,0,16,0.04
11,30.09.2010,,0,16,0.04
11,31.10.2010,,0,16,0.04
11,30.11.2010,,0,16,0.04
11,31.12.2010,,0,16,0.04
11,31.01.2011,,0,16,0.04
11,28.02.2011,,0,16,0.04
11,31.03.2011,,0,16,0.04
11,30.04.2011,,0,16,0.04
11,31.05.2011,,0,16,0.04
11,30.06.2011,,0,16,0.04
11,31.07.2011,,0,16,0.04
11,31.08.2011,,0,16,0.04
11,30.09.2011,,0,16,0.04
11,31.10.2011,,0,16,0.04
11,30.11.2011,,0,16,0.04
12,31.01.2010,30.04.2010,1,23,0.3
12,28.02.2010,30.04.2010,1,23,0.3
12,31.03.2010,30.04.2010,1,23,0.3
12,30.04.2010,30.09.2010,1,23,0.3
13,31.01.2010,30.09.2010,1,12,0.004
13,28.02.2010,30.09.2010,1,12,0.004
13,31.03.2010,30.09.2010,1,12,0.004
13,30.04.2010,30.09.2010,1,12,0.004
13,31.05.2010,30.09.2010,1,12,0.004
13,30.06.2010,30.09.2010,1,12,0.004
13,31.07.2010,30.09.2010,1,12,0.004
13,31.08.2010,30.09.2010,1,12,0.004
13,30.09.2010,30.09.2010,0,12,0.004
14,31.01.2010,31.01.2010,0,12,0.004
15,31.01.2010,31.07.2010,1,25,0.45
16,31.01.2010,,0,10,0.001
16,28.02.2010,,0,10,0.001
16,31.03.2010,,0,10,0.001
16,30.04.2010,,0,10,0.001
16,31.05.2010,,0,10,0.001
16,30.06.2010,,0,10,0.001
16,31.07.2010,,0,10,0.001
16,31.08.2010,31.08.2011,1,10,0.001
16,30.09.2010,31.08.2011,1,11,0.002
16,31.10.2010,31.08.2011,1,11,0.002
16,30.11.2010,31.08.2011,1,11,0.002
16,31.12.2010,31.08.2011,1,11,0.002
16,31.01.2011,31.08.2011,1,11,0.002
16,28.02.2011,31.08.2011,1,11,0.002
16,31.03.2011,31.08.2011,1,11,0.002
16,30.04.2011,31.08.2011,1,11,0.002
16,31.05.2011,31.08.2011,1,12,0.004
16,30.06.2011,31.08.2011,1,12,0.004
16,31.07.2011,31.08.2011,1,12,0.004
16,31.08.2011,31.08.2011,0,12,0.004
17,31.01.2010,31.12.2010,1,22,0.25
17,28.02.2010,31.12.2010,1,23,0.3
17,31.03.2010,31.12.2010,1,23,0.3
17,30.04.2010,31.12.2010,1,23,0.3
17,31.05.2010,31.12.2010,1,24,0.36
17,30.06.2010,31.12.2010,1,23,0.3
17,31.07.2010,31.12.2010,1,22,0.25
17,31.08.2010,31.12.2010,1,22,0.25
17,30.09.2010,31.12.2010,1,22,0.25
17,31.10.2010,31.12.2010,1,22,0.25
17,30.11.2010,31.12.2010,1,22,0.25
17,31.12.2010,30.09.2011,1,22,0.25
18,31.01.2010,,0,11,0.002
18,28.02.2010,,0,12,0.004
18,31.03.2010,,0,12,0.004
18,30.04.2010,,0,12,0.004
18,31.05.2010,,0,12,0.004
18,30.06.2010,,0,12,0.004
18,31.07.2010,,0,12,0.004
18,31.08.2010,,0,12,0.004
18,30.09.2010,,0,12,0.004
18,31.10.2010,,0,12,0.004
18,30.11.2010,,0,12,0.004
18,31.12.2010,,0,12,0.004
18,31.01.2011,,0,11,0.002
18,28.02.2011,,0,11,0.002
18,31.03.2011,,0,11,0.002
18,30.04.2011,,0,11,0.002
18,31.05.2011,,0,12,0.004
18,30.06.2011,,0,12,0.004
18,31.07.2011,,0,12,0.004
